power delay (sa=1.4) X,power delay (sa=1.4) Y,power delay (sa=1) X,power delay (sa=1) Y,power delay (sa=1.2) X,power delay (sa=1.2) Y,power delay (sa=1.6) X,power delay (sa=1.6) Y,power delay (sa=1.8) X,power delay (sa=1.8) Y,power delay (sa=2) X,power delay (sa=2) Y,power delay (sa=2.2) X,power delay (sa=2.2) Y,power delay (sa=2.4) X,power delay (sa=2.4) Y,power delay (sa=2.6) X,power delay (sa=2.6) Y,power delay (sa=2.8) X,power delay (sa=2.8) Y,power delay (sa=3) X,power delay (sa=3) Y,power delay (sa=3.2) X,power delay (sa=3.2) Y,power delay (sa=3.4) X,power delay (sa=3.4) Y,power delay (sa=3.6) X,power delay (sa=3.6) Y,power delay (sa=3.8) X,power delay (sa=3.8) Y,power delay (sa=4) X,power delay (sa=4) Y
5.4,5.728383769394074e-15,5.4,6.085982218441662e-15,5.4,5.870500657625987e-15,5.4,5.632787434838822e-15,5.4,5.560997275663678e-15,5.4,5.518280260490541e-15,5.4,5.486345529725101e-15,5.4,5.460373607875207e-15,5.4,5.442047276652021e-15,5.4,5.430074789120744e-15,5.4,5.42372085367164e-15,5.4,5.422144462839119e-15,5.4,5.421298514837097e-15,5.4,5.424905650485099e-15,5.4,5.432149705551967e-15,5.4,5.438094923679425e-15
5.6,5.683439855188512e-15,5.6,6.060023527853498e-15,5.6,5.834657782616329e-15,5.6,5.578823648391205e-15,5.6,5.501558922710422e-15,5.6,5.440071360012449e-15,5.6,5.40889237062902e-15,5.6,5.382919763124128e-15,5.6,5.3632560053506e-15,5.6,5.349232020618982e-15,5.6,5.34031860458098e-15,5.6,5.336510736954614e-15,5.6,5.335475722861365e-15,5.6,5.335715721041269e-15,5.6,5.340046351330648e-15,5.6,5.344948751721938e-15
5.8,5.639438830303028e-15,5.8,6.033864915563691e-15,5.8,5.79879471106583e-15,5.8,5.527658553306028e-15,5.8,5.446909997715163e-15,5.8,5.381688729057536e-15,5.8,5.331494907937215e-15,5.8,5.305471362876755e-15,5.8,5.28523502180782e-15,5.8,5.270115200642804e-15,5.8,5.259351563742679e-15,5.8,5.252545333617973e-15,5.8,5.248942719863629e-15,5.8,5.246624959513807e-15,5.8,5.248722077488995e-15,5.8,5.253174748071908e-15
6,5.595343427600707e-15,6,6.015208001385583e-15,6,5.763253323878604e-15,6,5.477612363721368e-15,6,5.392427380106099e-15,6,5.324870893374061e-15,6,5.273797393868834e-15,6,5.232374070587908e-15,6,5.206671786440596e-15,6,5.191121896442442e-15,6,5.179190449336381e-15,6,5.170612952342493e-15,6,5.16490758634529e-15,6,5.161178469821488e-15,6,5.1611587453845e-15,6,5.164788547472716e-15
6.2,5.552372099483685e-15,6.2,6.002283523593212e-15,6.2,5.726730901991939e-15,6.2,5.42895096667994e-15,6.2,5.338158947421532e-15,6.2,5.270484076675364e-15,6.2,5.216792412483088e-15,6.2,5.173022726691193e-15,6.2,5.139859344729574e-15,6.2,5.113700999160343e-15,6.2,5.099970731886259e-15,6.2,5.09026472410363e-15,6.2,5.081858335059032e-15,6.2,5.076157995037545e-15,6.2,5.074689866382631e-15,6.2,5.079005428061942e-15
6.4,5.510007071782595e-15,6.4,5.990831370549992e-15,6.4,5.702062850503865e-15,6.4,5.380057475706366e-15,6.4,5.285836592653113e-15,6.4,5.216033098938061e-15,6.4,5.160280441816107e-15,6.4,5.115831689649573e-15,6.4,5.081252504286208e-15,6.4,5.053270513402245e-15,6.4,5.03206229044954e-15,6.4,5.016758561565755e-15,6.4,5.006458245161474e-15,6.4,5.001193559011649e-15,6.4,4.996402025204226e-15,6.4,4.995499236005293e-15
6.6,5.477594329455355e-15,6.6,5.980319469787711e-15,6.6,5.680667911641256e-15,6.6,5.333199241809994e-15,6.6,5.234855371678918e-15,6.6,5.160936078866746e-15,6.6,5.104643387733257e-15,6.6,5.059949397806952e-15,6.6,5.023306242148829e-15,6.6,4.994154400966815e-15,6.6,4.971734316594127e-15,6.6,4.955391714775556e-15,6.6,4.943310617723366e-15,6.6,4.935516814695227e-15,6.6,4.931482726928538e-15,6.6,4.924909293544177e-15
6.8,5.45048713808059e-15,6.8,5.97025280199458e-15,6.8,5.661272206942555e-15,6.8,5.3001858472127e-15,6.8,5.18790330140215e-15,6.8,5.105509467394722e-15,6.8,5.050024785087666e-15,6.8,5.004410058800769e-15,6.8,4.96751896546637e-15,6.8,4.93739956413882e-15,6.8,4.913388295531341e-15,6.8,4.895044995568119e-15,6.8,4.881282995722954e-15,6.8,4.872812036198292e-15,6.8,4.867006197790396e-15,6.8,4.860665392761866e-15
7,5.424424303067321e-15,7,5.960166716621292e-15,7,5.643077319545092e-15,7,5.267990230084191e-15,7,5.151549905471591e-15,7,5.065396711182318e-15,7,4.995924177303044e-15,7,4.949357255483527e-15,7,4.912626391190092e-15,7,4.882457502271776e-15,7,4.857094091333171e-15,7,4.837569570186098e-15,7,4.822580614274367e-15,7,4.811506910033599e-15,7,4.804033312476847e-15,7,4.797326685008289e-15
7.2,5.400079633877159e-15,7.2,5.956928049868475e-15,7.2,5.625503783008574e-15,7.2,5.237340696171275e-15,7.2,5.117034404052167e-15,7.2,5.026562275408791e-15,7.2,4.954967913595962e-15,7.2,4.895751239822215e-15,7.2,4.858163775154533e-15,7.2,4.828303192500718e-15,7.2,4.802780173623606e-15,7.2,4.782784719931662e-15,7.2,4.765881874087994e-15,7.2,4.75360938696702e-15,7.2,4.744749588382686e-15,7.2,4.737561768559869e-15
7.4,5.376857923731016e-15,7.4,5.959395504481568e-15,7.4,5.609364313361238e-15,7.4,5.208630033731738e-15,7.4,5.084304521936575e-15,7.4,4.989674934994246e-15,7.4,4.916665639487007e-15,7.4,4.855727609466877e-15,7.4,4.806761645919303e-15,7.4,4.774633832460481e-15,7.4,4.749457209527194e-15,7.4,4.728970501617647e-15,7.4,4.712458904640404e-15,7.4,4.699412135131186e-15,7.4,4.688778959184385e-15,7.4,4.680914868873382e-15
7.6,5.35544196024407e-15,7.6,5.962658068534963e-15,7.6,5.595638341481956e-15,7.6,5.181357232849026e-15,7.6,5.052849372514465e-15,7.6,4.954812012907118e-15,7.6,4.879685143933889e-15,7.6,4.816927073893819e-15,7.6,4.766456542195782e-15,7.6,4.724937295951539e-15,7.6,4.696744359333958e-15,7.6,4.675989053287443e-15,7.6,4.658988736001175e-15,7.6,4.6452127831126e-15,7.6,4.63465522661578e-15,7.6,4.626975413614876e-15
7.8,5.33547032000718e-15,7.8,5.966974091813608e-15,7.8,5.58929886574988e-15,7.8,5.155270144728718e-15,7.8,5.022695560761795e-15,7.8,4.921639898836519e-15,7.8,4.843692719232019e-15,7.8,4.779715915494581e-15,7.8,4.72830733292187e-15,7.8,4.685348038459785e-15,7.8,4.649912872981431e-15,7.8,4.623239265587553e-15,7.8,4.605953829087689e-15,7.8,4.592033222245618e-15,7.8,4.580848239533537e-15,7.8,4.572975668341394e-15
8,5.31674693208305e-15,8,5.971796534978802e-15,8,5.584566184831189e-15,8,5.12970214162969e-15,8,4.993305381534579e-15,8,4.890024044648781e-15,8,4.809162463141727e-15,8,4.743946093726277e-15,8,4.690856159900674e-15,8,4.647503366856501e-15,8,4.610855765865516e-15,8,4.580707427386726e-15,8,4.55586793228833e-15,8,4.540301587750873e-15,8,4.529274735450351e-15,8,4.521374145992824e-15
