power (sa=2) X,power (sa=2) Y,power (sa=1) X,power (sa=1) Y,power (sa=1.2) X,power (sa=1.2) Y,power (sa=1.4) X,power (sa=1.4) Y,power (sa=1.6) X,power (sa=1.6) Y,power (sa=1.8) X,power (sa=1.8) Y,power (sa=2.2) X,power (sa=2.2) Y,power (sa=2.4) X,power (sa=2.4) Y,power (sa=2.6) X,power (sa=2.6) Y,power (sa=2.8) X,power (sa=2.8) Y,power (sa=3) X,power (sa=3) Y,power (sa=3.2) X,power (sa=3.2) Y,power (sa=3.4) X,power (sa=3.4) Y,power (sa=3.6) X,power (sa=3.6) Y,power (sa=3.8) X,power (sa=3.8) Y,power (sa=4) X,power (sa=4) Y
5.4,2.67250126756783e-05,5.4,2.562214444263682e-05,5.4,2.59317232045263e-05,5.4,2.616934162471643e-05,5.4,2.637770587058367e-05,5.4,2.655607774700019e-05,5.4,2.689014255596303e-05,5.4,2.704295200539173e-05,5.4,2.719275718360063e-05,5.4,2.733801174195275e-05,5.4,2.748001536763144e-05,5.4,2.761966478821275e-05,5.4,2.775687908377669e-05,5.4,2.789229226400011e-05,5.4,2.803185232013188e-05,5.4,2.816598594769015e-05
5.6,2.694930099093202e-05,5.6,2.58651290560338e-05,5.6,2.616912720293345e-05,5.6,2.640245691719545e-05,5.6,2.660762869903372e-05,5.6,2.678940684609812e-05,5.6,2.71091765461039e-05,5.6,2.726407085744898e-05,5.6,2.74125143453371e-05,5.6,2.755697803746676e-05,5.6,2.769825897313876e-05,5.6,2.784089147363585e-05,5.6,2.797799261551605e-05,5.6,2.811350506336564e-05,5.6,2.824793846729548e-05,5.6,2.83813840294699e-05
5.8,2.715122204675048e-05,5.8,2.609359480695432e-05,5.8,2.63842235814446e-05,5.8,2.661690240836792e-05,5.8,2.681474301451872e-05,5.8,2.699322382780199e-05,5.8,2.731202446162894e-05,5.8,2.746559517678341e-05,5.8,2.761201449226941e-05,5.8,2.775650134826454e-05,5.8,2.789738984465422e-05,5.8,2.803593031989715e-05,5.8,2.817267123674029e-05,5.8,2.830285150716415e-05,5.8,2.843394800535323e-05,5.8,2.856791347712663e-05
6,2.733262506774844e-05,6,2.629367641080469e-05,6,2.657983386451564e-05,6,2.680791901875118e-05,6,2.700207678665946e-05,6,2.717722447444474e-05,6,2.749178849076711e-05,6,2.76457831078303e-05,6,2.779003876766265e-05,6,2.793326731521366e-05,6,2.807369146412025e-05,6,2.821148429857198e-05,6,2.834759413933726e-05,6,2.848192460553615e-05,6,2.861017865588662e-05,6,2.874007919798043e-05
6.2,2.750483676465973e-05,6.2,2.647817168537899e-05,6.2,2.675772321521208e-05,6.2,2.698171310023252e-05,6.2,2.717322812524686e-05,6.2,2.734406332450667e-05,6.2,2.765516920238062e-05,6.2,2.780273322648644e-05,6.2,2.79499447757723e-05,6.2,2.809169207221478e-05,6.2,2.823269854045193e-05,6.2,2.836991830237504e-05,6.2,2.849916647756674e-05,6.2,2.863242005844429e-05,6.2,2.876710313166743e-05,6.2,2.889918575733036e-05
6.4,2.765812139492263e-05,6.4,2.664798166796396e-05,6.4,2.69209858363398e-05,6.4,2.71401313168021e-05,6.4,2.732441619737672e-05,6.4,2.749729487145472e-05,6.4,2.780392261367589e-05,6.4,2.794874400612278e-05,6.4,2.809608468915078e-05,6.4,2.823536082713414e-05,6.4,2.837298047099325e-05,6.4,2.85089051695925e-05,6.4,2.864300978064048e-05,6.4,2.87796337866948e-05,6.4,2.890284730038741e-05,6.4,2.903645858338952e-05
6.6,2.779328495042579e-05,6.6,2.680370308850286e-05,6.6,2.707093711273194e-05,6.6,2.728504346591789e-05,6.6,2.746939312237837e-05,6.6,2.76357332243587e-05,6.6,2.793985435058206e-05,6.6,2.808394674731812e-05,6.6,2.822519668997134e-05,6.6,2.836321897012664e-05,6.6,2.850184343890282e-05,6.6,2.864103645829535e-05,6.6,2.877489385499231e-05,6.6,2.890759520363997e-05,6.6,2.903951573450759e-05,6.6,2.916253137663687e-05
6.8,2.791659997235711e-05,6.8,2.694692079262186e-05,6.8,2.720915996206429e-05,6.8,2.741742548874592e-05,6.8,2.759913251933123e-05,6.8,2.776216930503036e-05,6.8,2.806526406383913e-05,6.8,2.82067869082082e-05,6.8,2.83469153265877e-05,6.8,2.848407944656062e-05,6.8,2.861962346497546e-05,6.8,2.875484321500658e-05,6.8,2.888751298590123e-05,6.8,2.902572610798872e-05,6.8,2.915729492527939e-05,6.8,2.92857120004809e-05
7,2.803151937005987e-05,7,2.707925451246257e-05,7,2.733600000775969e-05,7,2.754019363733723e-05,7,2.771746732198401e-05,7,2.787969276829789e-05,7,2.818134763998527e-05,7,2.831958548340689e-05,7,2.845886242642252e-05,7,2.859803505190852e-05,7,2.872969035354862e-05,7,2.886387188369425e-05,7,2.899654037846402e-05,7,2.912742402780456e-05,7,2.92578644023812e-05,7,2.938787586710101e-05
7.2,2.813838219043814e-05,7.2,2.720258059013027e-05,7.2,2.745378127254368e-05,7.2,2.76542992556061e-05,7.2,2.782832317512479e-05,7.2,2.798848955077491e-05,7.2,2.828632490035784e-05,7.2,2.842212531024187e-05,7.2,2.856224002521334e-05,7.2,2.870099224209729e-05,7.2,2.883458252184767e-05,7.2,2.897009257664876e-05,7.2,2.9096938298399e-05,7.2,2.922746838067597e-05,7.2,2.935742449880585e-05,7.2,2.948713246212689e-05
7.4,2.8238334973306e-05,7.4,2.731805142538339e-05,7.4,2.757063429765847e-05,7.4,2.776014579726901e-05,7.4,2.793172108792427e-05,7.4,2.809005447347748e-05,7.4,2.838543464282423e-05,7.4,2.852176412664389e-05,7.4,2.865807540012265e-05,7.4,2.879539040447325e-05,7.4,2.893140315197915e-05,7.4,2.906602172647468e-05,7.4,2.919930911064746e-05,7.4,2.933067188696464e-05,7.4,2.945607997826143e-05,7.4,2.958355430064864e-05
7.6,2.833050800972306e-05,7.6,2.742668186100466e-05,7.6,2.767249156082032e-05,7.6,2.785917088304723e-05,7.6,2.802788178998177e-05,7.6,2.818387377516006e-05,7.6,2.847699028185333e-05,7.6,2.861362152468865e-05,7.6,2.874670712195506e-05,7.6,2.888538067964076e-05,7.6,2.901974379346129e-05,7.6,2.915340158281816e-05,7.6,2.928586100673746e-05,7.6,2.941665565939138e-05,7.6,2.954725423646181e-05,7.6,2.967730348279616e-05
7.8,2.841700876617267e-05,7.8,2.752928327288375e-05,7.8,2.776863026447578e-05,7.8,2.795157743462031e-05,7.8,2.811822438693962e-05,7.8,2.827171870568791e-05,7.8,2.856249219012547e-05,7.8,2.86985854364851e-05,7.8,2.883407954514641e-05,7.8,2.896577300919172e-05,7.8,2.910159535892944e-05,7.8,2.923113620137987e-05,7.8,2.936197530699087e-05,7.8,2.94940817233509e-05,7.8,2.962358339586957e-05,7.8,2.975301079669093e-05
8,2.849874295550807e-05,8,2.762555762981775e-05,8,2.785923769590992e-05,8,2.803954444587275e-05,8,2.820202600129846e-05,8,2.835432622030019e-05,8,2.86431414320421e-05,8,2.877796393755522e-05,8,2.891195284688665e-05,8,2.90448579178415e-05,8,2.917700745671471e-05,8,2.930815626660844e-05,8,2.943859180112652e-05,8,2.956819458731334e-05,8,2.969980068159507e-05,8,2.982879196603932e-05
